Code,subcode,Offence description,Violent offence
09233,9233.0,Supplying or offering to supply (or being concerned in supplying or offering to supply) a controlled drug - Class A - MDMA,No
09234,9234.0,Supplying or offering to supply (or being concerned in supplying or offering to supply) a controlled drug - Class A - Crack,No
09235,9235.0,Supplying or offering to supply (or being concerned in supplying or offering to supply) a controlled drug - Class A - Methadone,No
09237,9237.0,Importing a drug the subject of a temporary class order with intent to evade a prohibition or restriction,No
09238,9238.0,Exporting a drug the subject of a temporary class order with intent to evade a prohibition or restriction,No
09239,9239.0,Supplying or offering to supply (or being concerned in supplying or offering to supply) a controlled drug - Class A - Other Class A,No
09240,9240.0,Supplying or offering to supply (or being concerned in supplying or offering to supply) a controlled drug - Class B - Amphetamine,No
09241,9241.0,"Supplying or offering to supply (or being concerned in supplying or offering to supply) a controlled drug - Class B - Cannabis and cannabis resin, Cannabinol and Cannabinol derivatives",No
09242,9242.0,Supplying or offering to supply (or being concerned in supplying or offering to supply) a controlled drug - Class B - Synthetic cannabinoid receptor agonists,No
09243,9243.0,Supplying or offering to supply (or being concerned in supplying or offering to supply) a controlled drug - Class B - 4-Methylmethcathinone (Mephedrone or Methcathinone),No
09245,9245.0,Supplying or offering to supply (or being concerned in supplying or offering to supply) a controlled drug - Class B - Other Class B,No
09246,9246.0,Supplying or offering to supply (or being concerned in supplying or offering to supply) a controlled drug - Class C - Cannabis and cannabis resin,No
09247,9247.0,Supplying or offering to supply (or being concerned in supplying or offering to supply) a controlled drug - Class C - Anabolic Steroids,No
09248,9248.0,Supplying or offering to supply (or being concerned in supplying or offering to supply) a controlled drug - Other Class C,No
09249,9249.0,Supplying or offering to supply (or being concerned in supplying or offering to supply) a controlled drug - Class unspecified,No
09250,9250.0,Having possession of a controlled drug - Class A - Cocaine,No
09251,9251.0,Having possession of a controlled drug - Class A - Heroin,No
09252,9252.0,Having possession of a controlled drug - Class A - LSD,No
09253,9253.0,Having possession of a controlled drug - Class A - MDMA,No
09254,9254.0,Having possession of a controlled drug - Class A - Crack,No
09255,9255.0,Having possession of a controlled drug - Class A - Methadone,No
09259,9259.0,Having possession of a controlled drug - Class A - Other Class A,No
09260,9260.0,Having possession of a controlled drug - Class B - Amphetamine,No
09261,9261.0,"Having possession of a controlled drug - Class B - Cannabis and cannabis resin, Cannabinol and Cannabinol derivatives",No
09262,9262.0,Having possession of a controlled drug - Class B - Synthetic cannabinoid receptor agonists,No
09263,9263.0,Having possession of a controlled drug - Class B - 4-Methylmethcathinone (Mephedrone or Methcathinone),No
09265,9265.0,Having possession of a controlled drug - Other Class B,No
09266,9266.0,Having possession of a controlled drug - Class C - Cannabis and cannabis resin,No
09267,9267.0,Having possession of a controlled drug - Class C - Anabolic Steroids,No
09268,9268.0,Having possession of a controlled drug - Class C - Other Class C,No
09269,9269.0,Having possession of a controlled drug - Class unspecified,No
09270,9270.0,Having possession of a controlled drug with intent to supply - Class A - Cocaine,No
09271,9271.0,Having possession of a controlled drug with intent to supply - Class A - Heroin,No
09272,9272.0,Having possession of a controlled drug with intent to supply - Class A - LSD,No
09273,9273.0,Having possession of a controlled drug with intent to supply - Class A - MDMA,No
09274,9274.0,Having possession of a controlled drug with intent to supply - Class A - Crack,No
09275,9275.0,Having possession of a controlled drug with intent to supply - Class A - Methadone,No
09279,9279.0,Having possession of a controlled drug with intent to supply - Class A - Other Class A,No
09280,9280.0,Having possession of a controlled drug with intent to supply - Class B - Amphetamine,No
09281,9281.0,"Having possession of a controlled drug with intent to supply - Class B - Cannabis and cannabis resin, Cannabinol and Cannabinol derivatives",No
09282,9282.0,Having possession with intent to supply - Class B - Synthetic cannabinoid receptor agonists,No
09283,9283.0,Having possession with intent to supply - Class B - 4-Methylmethcathinone (Mephedrone or Methcathinone),No
09285,9285.0,Having possession of a controlled drug with intent to supply - Class B - Other Class B,No
09286,9286.0,Having possession of a controlled drug with intent to supply - Class C - Cannabis and cannabis resin,No
09287,9287.0,Having possession of a controlled drug with intent to supply - Class C - Anabolic Steroids,No
09288,9288.0,Having possession of a controlled drug with intent to supply - Class C - Other Class C,No
09289,9289.0,Having possession of a controlled drug with intent to supply - Class unspecified,No
09290,9290.0,Incite another to supply a class A controlled drug,No
09291,9291.0,Incite another to supply a class B controlled drug,No
09292,9292.0,Incite another to supply a class C controlled drug,No
09293,9293.0,Incite another to supply a controlled drug of unspecified class,No
09295,9295.0,Producing controlled drug - Class A; Misuse of Drugs Act 1971 S.4(2)(a),No
09300,9300.0,Permitting premises to be used for unlawful purposes    [Use this code only if you are unable to determine which subcoded Offence applies],No
09310,9310.0,Permitting premises to be used for unlawful purposes - Class A - Cocaine,No
09311,9311.0,Permitting premises to be used for unlawful purposes - Class A - Heroin,No
09312,9312.0,Permitting premises to be used for unlawful purposes - Class A - LSD,No
09313,9313.0,Permitting premises to be used for unlawful purposes - Class A - MDMA,No
09314,9314.0,Permitting premises to be used for unlawful purposes - Class A - Crack,No
09315,9315.0,Permitting premises to be used for unlawful purposes - Class A - Methadone,No
09319,9319.0,Permitting premises to be used for unlawful purposes - Class A - Other Class A,No
09320,9320.0,Permitting premises to be used for unlawful purposes - Class B - Amphetamine,No
09321,9321.0,"Permitting premises to be used for unlawful purposes - Class B - Cannabis and cannabis resin, Cannabinol and Cannabinol derivatives",No
09322,9322.0,Permitting premises to be used for unlawful purposes - Class B - Synthetic cannabinoid receptor agonists,No
09323,9323.0,Permitting premises to be used for unlawful purposes - Class B - 4-Methylmethcathinone (Mephedrone or Methcathinone),No
09325,9325.0,Permitting premises to be used for unlawful purposes - Class B - Other Class B,No
09326,9326.0,Permitting premises to be used for unlawful purposes - Class C - Cannabis and cannabis resin,No
09327,9327.0,Permitting premises to be used for unlawful purposes - Class C - Anabolic Steroids,No
09328,9328.0,Permitting premises to be used for unlawful purposes - Class C - Other Class C,No
09329,9329.0,Permitting premises to be used for unlawful purposes - Class unspecified,No
09330,9330.0,"Obstructing exercise of powers of search etc., or concealing drugs etc.",No
09340,9340.0,Other indictable or triable-either-way offences relating to drugs,No
09341,9341.0,Produce a psychoactive substance,No
09342,9342.0,Supply a psychoactive substance,No
09343,9343.0,Offer to supply a psychoactive substance,No
09344,9344.0,Possess a psychoactive substance with intent to supply,No
09345,9345.0,Import a psychoactive substance,No
